רשימת יישובים ואזורים סטטיסטיים שבהם מתגוררת אוכלוסייה חרדית לפי רמת הומוגניות חרדית,,,,,,
" לפי תוצאות הבחירות לכנסת ה-20, שנערכו בשנת 2015",,,,,,
מס',רמת הומוגניות חרדית ,שם יישוב,סמל יישוב,סמל אזור סטטיסטי,פירוט גאוגרפי,רמה מקובצת של הומוגניות חרדית - בחירות 13
142,6,צפת,8000,5,"האר""י, קרן היסוד, ירושלים, הפלמ""ח, חטיבת יפתח",7
143,6,קרית גת,2630,32,"גאון הירדן, עדולם, שד' גת, אדוריים, שדרות אתרי המקרא",10
7,,,,,,
144,7,חיפה,4000,641,"מיכאל, בר כוכבא, הגבורים, הרצל, יל""ג",10
145,7,ירושלים,3000,831,"פין גיימס, ירמיהו, ברנדיס, מלכי ישראל, רש""י, תחכמוני, בר גיורא",11
146,7,ירושלים,3000,842,"הלני המלכה, הנביאים, אדלר שאול, שבטי ישראל, אתיופיה",7
147,7,ערד,2560,1,"הקנאים, חברון, חרוב, ירושלים, מעון",7
148,7,תל אביב - יפו,5000,226,"דבורה הנביאה, קהילת קליבלנד, הצנחנים, בית אל, ולנברג ראול",7
8,,,,,,
149,8,אלעד,1309,2,"רבן יוחנן בן זכאי, אבטליון, רבי יהודה נשיא, שמעיה, רבי טרפון",8
150,8,אלעד,1309,3,"רבי יוסי בן קיסמא, רבינו בחיי, רבינו חננאל, רבן יוחנן בן זכאי, שמעון הצדיק",8
151,8,בני ברק,6100,112,"נורוק, אביעד, אברבנאל, גרינברג, הרב ראט משולם",8
152,8,ירושלים,3000,532,"ארץ חפץ, חטיבת הראל, מגן האלף, עץ הדר, שמואל הנביא",8
153,8,כוכב יעקב,3779,0,,9
154,8,נתיבות,246,5,"שד ויצמן, הרב גרשונוביץ, חיל אוויר, חיל הים, חיל הנדסה",8
9,,,,,,
155,9,אשדוד,70,143,"הרב אברמסקי, סנש חנה, הרב רוזובסקי, הפלמ""ח, שד, עוזיהו",9
156,9,אשדוד,70,144,"רבי עקיבא, אדמו""ר מפיטסבורג, הפלמ""ח, חפץ חיים, סנש חנה",6
157,9,בית שמש,2610,35,"נהר הירדן, נחל קטלב, נחל שמשון, נחל דולב, נחל הבשור",10
158,9,בני ברק,6100,122,"אבו חצירא ישראל, הרב פתאיה, אברבנאל, הירקון, המכבים",9
159,9,בני ברק,6100,123,"ז'בוטינסקי, אברבנאל, טרומפלדור, החלוצים, הרצל",9
160,9,ירושלים,3000,421,"בובליק גדליה, סילבר אבא הלל, פרנקפורטר פליקס, קדימה, מורגנטאו הנרי",10
161,9,ירושלים,3000,422,"נרות שבת, סילבר אבא הלל, ליפסקי לואי, הרב הרץ יוסף צבי, הדף היומי",10
